證期會代碼,公司中文全稱,年月,收盤價(元)_月
3605,宏致電子                      ,201712,25.2
3607,谷崧精密工業                  ,201712,33.4
3617,碩天科技                      ,201712,99.5
3622,洋華光電                      ,201712,20.4
3645,達邁科技                      ,201712,84
3653,健策精密工業                  ,201712,66.7
3665,貿聯控股                      ,201712,278.5
3669,圓展科技                      ,201712,19.7
3673,"TPK Holding Co., Ltd.         ",201712,83.6
3679,新至陞科技                    ,201712,74.4
3686,達能科技                      ,201712,6.83
3694,海華科技                      ,201712,16.75
3698,隆達電子                      ,201712,26.7
3701,大眾全球投資控股              ,201712,7.14
3702,大聯大投資控股                ,201712,39.4
3703,欣陸投資控股                  ,201712,16.25
3704,合勤投資控股                  ,201712,15.25
3705,永信國際投資控股              ,201712,39.9
4104,佳醫健康事業                  ,201712,44.9
4106,雃博                          ,201712,29.95
4108,懷特生技新藥                  ,201712,23.25
4119,旭富製藥科技                  ,201712,57.5
4133,亞諾法生技                    ,201712,39.3
4141,龍燈環球農業科技              ,201712,27.05
4142,國光生物科技                  ,201712,20.2
4144,康聯控股                      ,201712,34.6
4164,承業生醫投資控股              ,201712,35.55
4306,炎洲                          ,201712,14.6
4414,如興                          ,201712,17.7
4426,利勤實業                      ,201712,48.45
4526,東台精機                      ,201712,20.35
4532,瑞智精密                      ,201712,28.65
4722,國精化學                      ,201712,34.6
4725,信昌化學工業                  ,201712,28.4
4737,華廣生技                      ,201712,55.5
4746,台耀化學                      ,201712,69
4904,遠傳電信                      ,201712,73.5
4906,正文科技                      ,201712,25.25
4915,致伸科技                      ,201712,79
4919,新唐科技                      ,201712,64
4930,燦星網通                      ,201712,12.95
4934,太極能源科技                  ,201712,12.95
4935,茂林光電科技 (開曼)           ,201712,45.15
4938,和碩聯合科技                  ,201712,72
4942,嘉彰                          ,201712,23.05
4952,凌通科技                      ,201712,53.9
4956,光鋐科技                      ,201712,21.8
4958,臻鼎科技控股                  ,201712,65.5
4960,奇美材料科技                  ,201712,12.15
4976,佳凌科技                      ,201712,36.6
4984,科納光通                      ,201712,39.45
4999,鑫禾科技                      ,201712,50.2
5007,三星科技                      ,201712,59
5203,訊連科技                      ,201712,66.8
5215,科嘉 (開曼)                   ,201712,26.4
5225,東科控股                      ,201712,29.4
5234,達興材料                      ,201712,67.8
5264,鎧勝控股                      ,201712,102
5269,祥碩科技                      ,201712,364
5305,敦南科技                      ,201712,43.2
5388,中磊電子                      ,201712,84.7
5434,崇越科技                      ,201712,80.9
5469,瀚宇博德                      ,201712,21.65
5471,松翰科技                      ,201712,36.55
5484,慧友電子                      ,201712,4.97
5515,建國工程                      ,201712,11.5
5521,工信工程                      ,201712,16.3
5522,遠雄建設事業                  ,201712,32.1
5525,順天建設                      ,201712,15.95
5531,鄉林建設事業                  ,201712,10.7
5533,皇鼎建設開發                  ,201712,15.95
5534,長虹建設                      ,201712,76.6
5607,遠雄自貿港投資控股            ,201712,16.85
5608,四維航業                      ,201712,9.19
5706,鳳凰國際旅行社                ,201712,34.45
5871,中租控股                      ,201712,86.6
5880,合作金庫金融控股              ,201712,16.6
5906,台南企業 (開曼)               ,201712,8
5907,大洋百貨集團控股              ,201712,22.85
6005,群益金鼎證券                  ,201712,11.6
6108,競國實業                      ,201712,28.2
6112,聚碩科技                      ,201712,29.4
6115,鎰勝工業                      ,201712,43.8
6116,瀚宇彩晶                      ,201712,9.94
6117,迎廣科技                      ,201712,18.05
6120,達運精密工業                  ,201712,37.05
6128,上福全球科技                  ,201712,39.45
6131,悠克國際                      ,201712,18.5
6133,金橋科技                      ,201712,10.35
6136,富爾特科技                    ,201712,23.9
6139,亞翔工程                      ,201712,34
6141,柏承科技                      ,201712,17
6142,友勁科技                      ,201712,7.92
6145,勁永國際                      ,201712,12.25
6152,百一電子                      ,201712,8.48
6153,嘉聯益科技                    ,201712,40.05
6155,鈞寶電子工業                  ,201712,19.75
6164,華興電子工業                  ,201712,13.05
6165,捷泰精密工業                  ,201712,34
6166,凌華科技                      ,201712,64
6168,宏齊科技                      ,201712,19.65
6172,互億科技                      ,201712,10.05
6176,瑞儀光電                      ,201712,70.7
6183,關貿網路                      ,201712,31.2
6184,大豐有線電視                  ,201712,34.25
6189,豐藝電子                      ,201712,28.05
6191,精成科技                      ,201712,13.5
6192,巨路國際                      ,201712,55.9
6196,帆宣系統科技                  ,201712,39
6197,佳必琪國際                    ,201712,31.5
6201,亞弘電科技                    ,201712,29.1
6202,盛群半導體                    ,201712,68.8
6205,詮欣                          ,201712,31.1
6206,飛捷科技                      ,201712,81.9
6209,今國光學工業                  ,201712,34.8
6213,聯茂電子                      ,201712,65.3
6214,精誠資訊                      ,201712,59.3
6215,和椿科技                      ,201712,19.5
6216,居易科技                      ,201712,28.55
6224,聚鼎科技                      ,201712,56.8
6225,天瀚科技                      ,201712,3.32
6226,光鼎電子                      ,201712,10.1
